City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,taroa,8.7058,171.2275,28.37,75,88,4.98,MH,1698344360
342,sorsk,54.0033,90.2467,9.03,73,91,10.97,RU,1698344361
343,margate,51.3813,1.3862,13.28,90,69,4.7,GB,1698344362
344,guerrero negro,27.9769,-114.0611,21.13,61,14,6.68,MX,1698344363
345,port saint john's,-31.6229,29.5448,21.38,91,92,6.63,ZA,1698344363
346,hassi messaoud,31.6804,6.0729,26.92,24,0,2.57,DZ,1698344364
347,shenkursk,62.1091,42.896,-3.09,85,31,1.5,RU,1698344365
348,monteagudo,-19.8167,-63.9833,20.2,89,100,1.35,BO,1698344365
349,viitasaari,63.0667,25.8667,-1.35,75,98,3.43,FI,1698344365
350,badiyah,22.45,58.8,24.19,68,63,2.13,OM,1698344368
351,todos santos,23.45,-110.2167,27.95,67,0,2.8,MX,1698344369
352,mana,5.6592,-53.7767,30.69,62,44,6.08,GF,1698344370
353,novska,45.3406,16.9769,16.1,76,97,2.04,HR,1698344371
354,raduzhnyy,62.0961,77.475,-5.26,91,100,7.62,RU,1698344152
355,elliot lake,46.3834,-82.6331,11.48,98,100,3.51,CA,1698344374
356,karratha,-20.7377,116.8463,30.23,25,9,7.21,AU,1698344375
357,happy valley-goose bay,53.3168,-60.3315,5.17,75,75,3.6,CA,1698344110
